1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	0	0	0	0	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
1	1.05414	1260	1	54	-nan
