1	1.05	0	0	0	-nan
1	1.1	1260	1	52	-nan
2	1.1	0	0	0	-nan
1	1.15	1260	1	52	-nan
2	1.15	129	2	50	0
1	1.2	9838	7	56	0
2	1.2	129	2	50	0
1	1.25	9838	7	56	0
2	1.25	350	6	54	0
1	1.3	22026	16	55	0
2	1.3	408	7	51	0
1	1.35	25114	19	51	0
2	1.35	1178	16	51	0
1	1.4	25226	21	52	0
2	1.4	1491	20	52	0
1	1.45	25404	24	52	0
2	1.45	1661	22	52	0
1	1.5	25404	24	52	0
2	1.5	1916	25	50	0
1	1.55	27050	27	50	0
2	1.55	1916	25	50	0
1	1.6	27112	28	53	0
2	1.6	2086	27	53	0
1	1.65	27176	29	53	0
2	1.65	2256	29	53	0
1	1.7	28760	31	56	0
2	1.7	2341	30	54	0
1	1.75	28824	32	54	0
2	1.75	2511	32	54	0
1	1.8	28888	33	51	0
2	1.8	2596	33	51	0
1	1.85	29016	35	51	0
2	1.85	2681	34	51	0
1	1.9	29080	36	50	0
2	1.9	2851	36	50	0
1	1.95	29144	37	50	0
2	1.95	2936	37	50	0
1	2	29213	38	54	0
2	2	3021	38	54	0
1	2.05	29277	39	54	0
2	2.05	3106	39	54	0
1	2.1	29405	41	53	0
2	2.1	3191	40	53	0
1	2.15	29405	41	53	0
2	2.15	3276	41	53	0
1	2.2	29533	43	50	0
2	2.2	3361	42	53	0
1	2.25	29597	44	50	0
2	2.25	3531	44	50	0
1	2.3	29661	45	51	0
2	2.3	3616	45	51	0
1	2.35	29725	46	51	0
2	2.35	3701	46	51	0
1	2.4	29789	47	51	0
2	2.4	3786	47	51	0
1	2.45	29922	49	51	0
2	2.45	3871	48	51	0
1	2.5	29986	50	51	0
2	2.5	4041	50	51	0
1	2.55	30050	51	51	0
2	2.55	4126	51	51	0
1	2.6	30114	52	50	0
2	2.6	4211	52	50	0
1	2.65	30178	53	50	0
2	2.65	4296	53	50	0
1	2.7	30306	55	53	0
2	2.7	4381	54	53	0
1	2.75	30370	56	53	0
2	2.75	4551	56	53	0
1	2.8	30434	57	51	0
2	2.8	4636	57	51	0
1	2.85	30498	58	51	0
2	2.85	4721	58	51	0
1	2.9	30562	59	50	0
2	2.9	4806	59	50	0
